file,keyword,occurrence,total_for_keyword,offset,context
_next__static__css__f8f6efbcd1e306ae.css,king,3,63,7594,"rem;--text-3xl--line-height:calc(2.25/1.875);--text-4xl:2.25rem;--text-4xl--line-height:calc(2.5/2.25);--text-5xl:3rem;--text-5xl--line-height:1;--font-weight-normal:400;--font-weight-medium:500;--font-weight-semibold:600;--font-weight-bold:700;--font-weight-black:900;--tracking-tight:-.025em;--tracking-normal:0em;--tracking-wide:.025em;--tracking-wider:.05em;--tracking-widest:.1em;--leading-tight:1.25;--leading-snug:1.375;--leading-normal:1.5;--leading-relaxed:1.625;--radius-xs:.125rem;--radius-2xl:1rem;--radius-3xl:1.5rem;--drop-shadow-sm:0 1px 2px #00000026;--ease-in:cubic-bezier(.4,0,1,1);--ea"
_next__static__css__f8f6efbcd1e306ae.css,king,4,63,7616,"eight:calc(2.25/1.875);--text-4xl:2.25rem;--text-4xl--line-height:calc(2.5/2.25);--text-5xl:3rem;--text-5xl--line-height:1;--font-weight-normal:400;--font-weight-medium:500;--font-weight-semibold:600;--font-weight-bold:700;--font-weight-black:900;--tracking-tight:-.025em;--tracking-normal:0em;--tracking-wide:.025em;--tracking-wider:.05em;--tracking-widest:.1em;--leading-tight:1.25;--leading-snug:1.375;--leading-normal:1.5;--leading-relaxed:1.625;--radius-xs:.125rem;--radius-2xl:1rem;--radius-3xl:1.5rem;--drop-shadow-sm:0 1px 2px #00000026;--ease-in:cubic-bezier(.4,0,1,1);--ease-out:cubic-bezier(0,"
_next__static__css__f8f6efbcd1e306ae.css,king,5,63,7639,"--text-4xl:2.25rem;--text-4xl--line-height:calc(2.5/2.25);--text-5xl:3rem;--text-5xl--line-height:1;--font-weight-normal:400;--font-weight-medium:500;--font-weight-semibold:600;--font-weight-bold:700;--font-weight-black:900;--tracking-tight:-.025em;--tracking-normal:0em;--tracking-wide:.025em;--tracking-wider:.05em;--tracking-widest:.1em;--leading-tight:1.25;--leading-snug:1.375;--leading-normal:1.5;--leading-relaxed:1.625;--radius-xs:.125rem;--radius-2xl:1rem;--radius-3xl:1.5rem;--drop-shadow-sm:0 1px 2px #00000026;--ease-in:cubic-bezier(.4,0,1,1);--ease-out:cubic-bezier(0,0,.2,1);--ease-in-out:c"
_next__static__css__f8f6efbcd1e306ae.css,king,6,63,7662,"xt-4xl--line-height:calc(2.5/2.25);--text-5xl:3rem;--text-5xl--line-height:1;--font-weight-normal:400;--font-weight-medium:500;--font-weight-semibold:600;--font-weight-bold:700;--font-weight-black:900;--tracking-tight:-.025em;--tracking-normal:0em;--tracking-wide:.025em;--tracking-wider:.05em;--tracking-widest:.1em;--leading-tight:1.25;--leading-snug:1.375;--leading-normal:1.5;--leading-relaxed:1.625;--radius-xs:.125rem;--radius-2xl:1rem;--radius-3xl:1.5rem;--drop-shadow-sm:0 1px 2px #00000026;--ease-in:cubic-bezier(.4,0,1,1);--ease-out:cubic-bezier(0,0,.2,1);--ease-in-out:cubic-bezier(.4,0,.2,1);"
_next__static__css__f8f6efbcd1e306ae.css,king,7,63,15035,"-inline:calc(var(--spacing)*2);padding-block:calc(var(--spacing)*.5);font-size:var(--text-xs);line-height:var(--tw-leading,var(--text-xs--line-height));--tw-font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium);border-radius:.25rem;align-items:center;display:inline-flex}.badge-king{color:#a855f7;background-color:#a855f71a}.badge-pika{color:#eab308;background-color:#eab3081a}.badge-barney{color:#9333ea;background-color:#9333ea1a}.badge-gatekeeper{color:#f97316;background-color:#f973161a}.badge-gex{color:#3b82f6;background-color:#3b82f61a}.badge-vex{color:#f59e0b;background-col"
_next__static__css__f8f6efbcd1e306ae.css,king,8,63,15456,"333ea;background-color:#9333ea1a}.badge-gatekeeper{color:#f97316;background-color:#f973161a}.badge-gex{color:#3b82f6;background-color:#3b82f61a}.badge-vex{color:#f59e0b;background-color:#f59e0b1a}.table-header{--tw-font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium);--tw-tracking:var(--tracking-wide);letter-spacing:var(--tracking-wide);text-transform:uppercase;color:var(--color-terminal-text-muted);font-family:Roboto Mono,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,monospace}.table-cell,.table-header{font-size:var(--text-xs);line-height:var(--tw-leading,var(--text-xs"
_next__static__css__f8f6efbcd1e306ae.css,king,9,63,15471,"d-color:#9333ea1a}.badge-gatekeeper{color:#f97316;background-color:#f973161a}.badge-gex{color:#3b82f6;background-color:#3b82f61a}.badge-vex{color:#f59e0b;background-color:#f59e0b1a}.table-header{--tw-font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium);--tw-tracking:var(--tracking-wide);letter-spacing:var(--tracking-wide);text-transform:uppercase;color:var(--color-terminal-text-muted);font-family:Roboto Mono,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,monospace}.table-cell,.table-header{font-size:var(--text-xs);line-height:var(--tw-leading,var(--text-xs--line-height))"
_next__static__css__f8f6efbcd1e306ae.css,king,10,63,15507,"color:#f97316;background-color:#f973161a}.badge-gex{color:#3b82f6;background-color:#3b82f61a}.badge-vex{color:#f59e0b;background-color:#f59e0b1a}.table-header{--tw-font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium);--tw-tracking:var(--tracking-wide);letter-spacing:var(--tracking-wide);text-transform:uppercase;color:var(--color-terminal-text-muted);font-family:Roboto Mono,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,monospace}.table-cell,.table-header{font-size:var(--text-xs);line-height:var(--tw-leading,var(--text-xs--line-height))}.table-cell{padding:4px 8px}.table-"
_next__static__css__f8f6efbcd1e306ae.css,king,11,63,95968,-bold)}.font-medium{--tw-font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium)}.font-normal{--tw-font-weight:var(--font-weight-normal);font-weight:var(--font-weight-normal)}.font-semibold{--tw-font-weight:var(--font-weight-semibold);font-weight:var(--font-weight-semibold)}.tracking-\[\.12em\]{--tw-tracking:.12em;letter-spacing:.12em}.tracking-\[\.16em\]{--tw-tracking:.16em;letter-spacing:.16em}.tracking-\[\.18em\]{--tw-tracking:.18em;letter-spacing:.18em}.tracking-\[0\.1em\]{--tw-tracking:.1em;letter-spacing:.1em}.tracking-\[0\.04em\]{--tw-tracking:.04em;letter-spacing:.04em}
_next__static__css__f8f6efbcd1e306ae.css,king,12,63,95993,font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium)}.font-normal{--tw-font-weight:var(--font-weight-normal);font-weight:var(--font-weight-normal)}.font-semibold{--tw-font-weight:var(--font-weight-semibold);font-weight:var(--font-weight-semibold)}.tracking-\[\.12em\]{--tw-tracking:.12em;letter-spacing:.12em}.tracking-\[\.16em\]{--tw-tracking:.16em;letter-spacing:.16em}.tracking-\[\.18em\]{--tw-tracking:.18em;letter-spacing:.18em}.tracking-\[0\.1em\]{--tw-tracking:.1em;letter-spacing:.1em}.tracking-\[0\.04em\]{--tw-tracking:.04em;letter-spacing:.04em}.tracking-\[0\.08em\]{--t
